"filename", "language", "JavaScript", "XML", "CSS", "Markdown", "JSON", "Groovy", "HTML", "comment", "blank", "total"
"c:\Users\User\Desktop\work\youwho.club\Jenkinsfile", "Groovy", 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
"c:\Users\User\Desktop\work\youwho.club\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 2, 5
"c:\Users\User\Desktop\work\youwho.club\package-lock.json", "JSON", 0, 0, 0, 0, 34018, 0, 0, 0, 1, 34019
"c:\Users\User\Desktop\work\youwho.club\package.json", "JSON", 0, 0, 0, 0, 69, 0, 0, 0, 1, 70
"c:\Users\User\Desktop\work\youwho.club\public\Y-HUG-COIN.svg", "XML", 0, 76, 0, 0, 0, 0, 0, 0, 2, 78
"c:\Users\User\Desktop\work\youwho.club\public\YouwhoHugCoin.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 32, 25, 6, 63
"c:\Users\User\Desktop\work\youwho.club\public\introGroup.svg", "XML", 0, 104, 0, 0, 0, 0, 0, 0, 2, 106
"c:\Users\User\Desktop\work\youwho.club\public\manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\User\Desktop\work\youwho.club\public\p-outline-animated.svg", "XML", 0, 225, 0, 0, 0, 0, 0, 1, 2, 228
"c:\Users\User\Desktop\work\youwho.club\public\p-outline.svg", "XML", 0, 62, 0, 0, 0, 0, 0, 154, 4, 220
"c:\Users\User\Desktop\work\youwho.club\public\w-outline-animated.svg", "XML", 0, 187, 0, 0, 0, 0, 0, 5, 1, 193
"c:\Users\User\Desktop\work\youwho.club\public\w-outline.svg", "XML", 0, 70, 0, 0, 0, 0, 0, 72, 1, 143
"c:\Users\User\Desktop\work\youwho.club\public\w-typography.svg", "XML", 0, 89, 0, 0, 0, 0, 0, 0, 1, 90
"c:\Users\User\Desktop\work\youwho.club\public\youwho-hugcoin copy.svg", "XML", 0, 194, 0, 0, 0, 0, 0, 1, 1, 196
"c:\Users\User\Desktop\work\youwho.club\public\youwho-hugcoin.svg", "XML", 0, 215, 0, 0, 0, 0, 0, 6, 4, 225
"c:\Users\User\Desktop\work\youwho.club\public\youwho-purple.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\public\youwho-w-outline.svg", "XML", 0, 122, 0, 0, 0, 0, 0, 1, 1, 124
"c:\Users\User\Desktop\work\youwho.club\public\youwho-white.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\App.css", "CSS", 0, 0, 182, 0, 0, 0, 0, 6, 9, 197
"c:\Users\User\Desktop\work\youwho.club\src\App.js", "JavaScript", 280, 0, 0, 0, 0, 0, 0, 10, 37, 327
"c:\Users\User\Desktop\work\youwho.club\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\User\Desktop\work\youwho.club\src\assets\CHATNFT-WH.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\CHATNFT-b.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\FEATURESDRK-.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\FEATURESDRK.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\FEATURESWH-.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\FEATURESWH.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\WALLET-WH.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\WALLET-b.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\Wallet.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\User\Desktop\work\youwho.club\src\assets\Y-HUG-COIN.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\Ycoin.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\bgDots.svg", "XML", 0, 180, 0, 0, 0, 0, 0, 0, 1, 181
"c:\Users\User\Desktop\work\youwho.club\src\assets\blockchainDark.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\blockchainLight.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\work\youwho.club\src\assets\blue-nft.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\User\Desktop\work\youwho.club\src\assets\calenDark.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
